AZE,Red Crescent Society of Azerbaijan,urn:oid:2.49.1.10
DJI,Red Crescent Society of Djibouti,urn:oid:2.49.1.43
KGZ,Red Crescent Society of Kyrgyzstan,urn:oid:2.49.1.86
TJK,Red Crescent Society of Tajikistan,urn:oid:2.49.1.163
IRN,Red Crescent Society of the Islamic Republic of Iran,urn:oid:2.49.1.76
ARE,Red Crescent Society of the United Arab Emirates,urn:oid:2.49.1.4
TKM,Red Crescent Society of Turkmenistan,urn:oid:2.49.1.164
UZB,Red Crescent Society of Uzbekistan,urn:oid:2.49.1.175
BEN,Red Cross of Benin,urn:oid:2.49.1.13
CPV,Red Cross of Cape Verde,urn:oid:2.49.1.37
TCD,Red Cross of Chad,urn:oid:2.49.1.160
GNQ,Red Cross of Equatorial Guinea,urn:oid:2.49.1.64
MCO,Red Cross of Monaco,urn:oid:2.49.1.104
MNE,Red Cross of Montenegro,urn:oid:2.49.1.113
COD,Red Cross of the Democratic Republic of the Congo,urn:oid:2.49.1.183
SMR,Red Cross of the Republic of San Marino,urn:oid:2.49.1.149
VNM,Red Cross of Viet Nam,urn:oid:2.49.1.178
CHN,Red Cross Society of China,urn:oid:2.49.1.31
CIV,Red Cross Society of Côte d'Ivoire,urn:oid:2.49.1.32
GEO,Red Cross Society of Georgia,urn:oid:2.49.1.59
GIN,Red Cross Society of Guinea,urn:oid:2.49.1.61
GNB,Red Cross Society of Guinea-Bissau,urn:oid:2.49.1.63
NGA,Red Cross Society of Niger,urn:oid:2.49.1.121
PAN,Red Cross Society of Panama,urn:oid:2.49.1.129
PRK,Red Cross Society of the Democratic People's Republic of Korea,urn:oid:2.49.1.135
MDA,Red Cross Society of the Republic of Moldova,urn:oid:2.49.1.105
ROU,Romanian Red Cross,urn:oid:2.49.1.139
RWA,Rwandan Red Cross,urn:oid:2.49.1.141
KNA,Saint Kitts and Nevis Red Cross Society,urn:oid:2.49.1.89
LCA,Saint Lucia Red Cross,urn:oid:2.49.1.96
VCT,Saint Vincent and the Grenadines Red Cross,urn:oid:2.49.1.176
SLV,Salvadorean Red Cross Society,urn:oid:2.49.1.148
WSM,Samoa Red Cross Society,urn:oid:2.49.1.180
STP,Sao Tome and Principe Red Cross,urn:oid:2.49.1.152
SAU,Saudi Red Crescent Authority,urn:oid:2.49.1.142
SEN,Senegalese Red Cross Society,urn:oid:2.49.1.144
SYC,Seychelles Red Cross Society,urn:oid:2.49.1.158
SLE,Sierra Leone Red Cross Society,urn:oid:2.49.1.147
SGP,Singapore Red Cross Society,urn:oid:2.49.1.145
SVK,Slovak Red Cross,urn:oid:2.49.1.154
SVN,Slovenian Red Cross,urn:oid:2.49.1.155
SOM,Somali Red Crescent Society,urn:oid:2.49.1.150
SSD,South Sudan Red Cross,urn:oid:2.49.1.151
ESP,Spanish Red Cross,urn:oid:2.49.1.50
SUR,Suriname Red Cross,urn:oid:2.49.1.153
SWE,Swedish Red Cross,urn:oid:2.49.1.156
CHE,Swiss Red Cross,urn:oid:2.49.1.29
SYR,Syrian Arab Red Crescent,urn:oid:2.49.1.159
TZA,Tanzania Red Cross National Society,urn:oid:2.49.1.170
BHS,The Bahamas Red Cross Society,urn:oid:2.49.1.18
BRB,The Barbados Red Cross Society,urn:oid:2.49.1.24
CAN,The Canadian Red Cross Society,urn:oid:2.49.1.28
COM,The Comoros Red Crescent,urn:oid:2.49.1.36
GMB,The Gambia Red Cross Society,urn:oid:2.49.1.62
GUY,The Guyana Red Cross Society,urn:oid:2.49.1.68
NLD,The Netherlands Red Cross,urn:oid:2.49.1.124
PSE,The Palestine Red Crescent Society,urn:oid:2.49.1.187
PHL,The Philippine Red Cross,urn:oid:2.49.1.131
SRB,The Red Cross of Serbia,urn:oid:2.49.1.186
MKD,The Red Cross of The Former Yugoslav Republic of Macedonia,urn:oid:2.49.1.109
BIH,The Red Cross Society of Bosnia and Herzegovina,urn:oid:2.49.1.19
KOR,The Republic of Korea National Red Cross,urn:oid:2.49.1.90
RUS,The Russian Red Cross Society,urn:oid:2.49.1.140
SLB,The Solomon Islands Red Cross,urn:oid:2.49.1.146
ZAF,The South African Red Cross Society,urn:oid:2.49.1.182
LKA,The Sri Lanka Red Cross Society,urn:oid:2.49.1.98
SDN,The Sudanese Red Crescent,urn:oid:2.49.1.143
